two_theta_deg,experimental,fitted
1.53,2040050,2045780.7227078888
1.5349999999999999,1835720,1822957.1767071271
1.54,1637670,1614394.8258385831
1.5449999999999999,1457430,1420434.3915330837
1.55,1282820,1241259.3083982423
1.5549999999999999,1131140,1076899.6337637382
1.5600000000000001,986808,927238.58580536756
1.5649999999999999,858317,792021.45590326784
1.5700000000000001,737254,670866.57718524057
1.575,636076,563277.98396985326
1.5800000000000001,538762,468659.36719527852
1.585,459342,386328.91893034225
1.5900000000000001,384454,315534.66373415466
1.595,323923,255469.89413347008
1.6000000000000001,270877,205288.35936129343
1.605,226077,164118.89788508861
1.6100000000000001,189017,131079.25212238426
1.615,160156,105288.85511995472
1.6200000000000001,136098,85880.431114776307
1.625,118572,72010.302421394357
1.6299999999999999,104377,62867.342075639717
1.635,95923.800000000003,57680.553677956959
1.6399999999999999,90263.800000000003,55725.295984245262
1.645,87458.800000000003,56328.1995116217
1.6499999999999999,86870.800000000003,58870.845686510111
1.655,88858.800000000003,62792.296117592625
1.6599999999999999,90937.800000000003,67590.570930845279
1.665,94614.800000000003,72823.181433813923
1.6699999999999999,98864.699999999997,78106.824456300936
1.675,103222,83116.344356347108
1.6799999999999999,108044,87583.064681681702
1.6850000000000001,111942,91292.585583568813
1.6899999999999999,116089,94082.135959644627
1.6950000000000001,118743,95837.561527941492
1.7,122168,96490.022077285903
1.7050000000000001,123877,96012.463369342935
1.71,124867,94415.921857723617
1.7150000000000001,125901,91745.713724554036
1.72,125501,88077.553822058588
1.7250000000000001,125330,83513.644987743581
1.73,125127,78178.773864806586
1.7350000000000001,123796,72216.445750722822
1.74,123178,65785.088031959196
1.7450000000000001,122389,59054.349335973719
1.75,121634,52201.519525667136
1.7549999999999999,122501,45408.093954724871
1.76,122745,38856.503875837378
1.7649999999999999,124044,32727.033436741443
1.77,126390,27194.94221315339
1.7749999999999999,130626,22427.810630824941
1.78,134723,18583.123857573486
1.7849999999999999,142145,15806.107756699119
1.79,148726,14227.828262785697
1.7949999999999999,158633,13963.563066844892
1.8,169956,15111.451796555752
1.8049999999999999,182136,17751.427982631794
1.8100000000000001,196319,21944.433062428008
1.8149999999999999,214192,27731.909546712195
1.8200000000000001,230647,35135.567333217346
1.825,252297,44157.414063931501
1.8300000000000001,272337,54780.03746583523
1.835,296902,66967.124858239084
1.8400000000000001,320472,80664.20251959961
1.845,347734,95799.575439845808
1.8500000000000001,375259,112285.44618729956
1.855,404501,130019.19022639094
1.8600000000000001,432977,148884.76405446994
1.865,463404,168754.22199043958
1.8700000000000001,493997,189489.31733878684
1.875,526970,210943.16395159866
1.8799999999999999,557775,232961.93488907494
1.885,590605,255386.57589738123
1.8899999999999999,620684,278054.51273567788
1.895,651288,300801.33294098062
1.8999999999999999,683979,323462.42436638667
1.905,710876,345874.55471058434
1.9099999999999999,736284,367877.37822099042
1.915,768161,389314.85774875118
1.9199999999999999,791476,410036.59231483284
1.925,814564,429899.04227156821
1.9299999999999999,833549,448766.64597849059
1.9350000000000001,856612,466512.82362689829
1.9399999999999999,872207,483020.86542296462
1.9450000000000001,888845,498184.70275963115
1.95,896139,511909.562264685
1.9550000000000001,911440,524112.50370385021
1.96,916715,534722.84364615823
1.9650000000000001,921239,543682.46757151769
1.97,919501,550946.03372812562
1.9750000000000001,921933,556481.07254388696
1.98,917043,560267.98577704362
1.9850000000000001,911435,562299.94987377815
1.99,900814,562582.72820218874
1.9950000000000001,891699,561134.39697016147
2,875998,557984.98972606321
2.0049999999999999,860300,553176.06540145143
2.0099999999999998,838534,546760.20489818288
2.0150000000000001,818135,538800.44126058184
2.02,794202,529369.62851674028
2.0249999999999999,769213,518549.75432939432
2.0299999999999998,741823,506431.20167152648
2.0350000000000001,714348,493111.96483804035
2.04,683301,478696.82522321201
2.0449999999999999,652636,463296.49243275687
2.0499999999999998,617201,447026.71645572566
2.0550000000000002,586691,430007.37678974576
2.0600000000000001,551591,412361.55458645552
2.0649999999999999,518289,394214.59405414213
2.0699999999999998,482186,375693.15951246145
2.0750000000000002,449590,356924.29462994449
2.0800000000000001,414703,338034.49047879089
2.085,381136,319148.76910337649
2.0899999999999999,347428,300389.78930960014
2.0950000000000002,316553,281876.98133319244
2.1000000000000001,284637,263725.7169290976
2.105,255606,246046.52123522255
2.1099999999999999,226253,228944.33249815842
2.1150000000000002,199473,212517.81540379932
2.1200000000000001,173575,196858.73333207463
2.125,151760,182051.38435438226
2.1299999999999999,129329,168172.10521903235
2.1349999999999998,110891,155288.84693042515
2.1400000000000001,93230.600000000006,143460.82483008018
2.145,78472.699999999997,132738.24534202245
2.1499999999999999,64929.800000000003,123162.11076289871
2.1549999999999998,55301.800000000003,114764.10267116678
2.1600000000000001,47540.900000000001,107566.54371320878
2.165,41440.900000000001,101582.43671108982
2.1699999999999999,37241.900000000001,96815.579240798979
2.1749999999999998,36209.900000000001,93260.751064653407
2.1800000000000002,37044.900000000001,90903.971079899144
2.1850000000000001,40262.900000000001,89722.819779096724
2.1899999999999999,45458.800000000003,89686.82261695269
2.1949999999999998,52916.800000000003,90757.88915156835
2.2000000000000002,62743.800000000003,92890.802382512353
2.2050000000000001,73439.800000000003,96033.752348661583
2.21,85641.699999999997,100128.9077783719
2.2149999999999999,100754,105113.0194042263
2.2200000000000002,116834,110918.04846343979
2.2250000000000001,133180,117471.81390024432
2.23,151381,124698.65186387797
2.2349999999999999,173099,132520.08124936817
2.2400000000000002,193083,140855.46925116691
2.2450000000000001,214139,149622.69118394991
2.25,235129,158738.77916197252
2.2549999999999999,258947,168120.55460929521
2.2599999999999998,281342,177685.2399888408
2.2650000000000001,302517,187351.04557957704
2.27,324096,197037.72758941
2.2749999999999999,349321,206667.11435837686
2.2799999999999998,371032,216163.59787484221
2.2850000000000001,392813,225454.58828979384
2.29,413581,234470.92956500818
2.2949999999999999,435295,243147.27482473617
2.2999999999999998,453699,251422.42039347978
2.3050000000000002,472672,259239.59789114678
2.3100000000000001,491293,266546.72411904717
2.3149999999999999,507984,273296.60880428896
2.3199999999999998,522234,279447.12057541311
2.3250000000000002,539263,284961.31181848841
2.3300000000000001,549462,289807.50331089733
2.335,560770,293959.32975067856
2.3399999999999999,571951,297395.74749395828
2.3450000000000002,581739,300101.00598338706
2.3500000000000001,586136,302064.58449848427
2.355,594217,303281.0959863743
2.3599999999999999,597157,303750.15984059899
2.3650000000000002,601393,303476.24558846781
2.3700000000000001,601209,302468.4895256469
2.375,603136,300740.48640207242
2.3799999999999999,599671,298310.0583173178
2.3849999999999998,599241,295199.00302752689
2.3900000000000001,593048,291432.82390096562
2.395,590286,287040.44378591771
2.3999999999999999,583298,282053.9050735872
2.4049999999999998,575228,276508.05825012294
2.4100000000000001,565663,270440.24123592762
2.415,557019,263889.95180688199
2.4199999999999999,544479,256898.51538069954
2.4249999999999998,535719,249508.75043187244
2.4300000000000002,521903,241764.63377002371
2.4350000000000001,510634,233710.96787834406
2.4399999999999999,495946,225393.05246055071
2.4449999999999998,482513,216856.36228586984
2.4500000000000002,466061,208146.23335139276
2.4550000000000001,453096,199307.55929937816
2.46,437935,190384.49993339437
2.4649999999999999,422567,181420.20357149804
2.4700000000000002,406375,172456.54485702398
2.4750000000000001,391593,163533.87951829607
2.48,375211,154690.81742817606
2.4849999999999999,362846,145964.0151635762
2.4900000000000002,344269,137387.98910483261
2.4950000000000001,330566,128994.94994633138
2.5,315392,120814.65931437003
2.5049999999999999,302718,112874.30900745839
2.5099999999999998,286848,105198.42318981013
2.5150000000000001,274441,97808.783682455964
2.52,259414,90724.378310117681
2.5249999999999999,249303,83961.37207765755
2.5299999999999998,235911,77533.100769516241
2.5350000000000001,224647,71450.086390990909
2.54,212580,65720.073703345624
2.5449999999999999,202516,60348.086947338968
2.5499999999999998,193309,55336.505703421513
2.5550000000000002,183873,50685.158703051689
2.5600000000000001,174671,46391.434285571631
2.5649999999999999,166173,42450.406089931028
2.5699999999999998,157392,38854.972481081852
2.5750000000000002,151208,35596.008137690413
2.5800000000000001,143836,32662.526171291003
2.585,137474,30041.849107266
2.5899999999999999,132012,27719.787034980935
2.5950000000000002,126924,25680.82122771498
2.6000000000000001,121294,23908.291542186522
2.605,116570,22384.585931781185
2.6099999999999999,112193,21091.330446180782
2.6150000000000002,107880,20009.578141966311
2.6200000000000001,104216,19119.995392812409
2.625,100931,18403.044162902403
2.6299999999999999,97512.800000000003,17839.15889190941
2.6349999999999998,94530.800000000003,17408.916733007376
2.6400000000000001,91846.800000000003,17093.199985580875
2.645,89021.800000000003,16873.349670284355
2.6499999999999999,87030.800000000003,16731.309304576811
2.6549999999999998,84185.800000000003,16649.758050585995
2.6600000000000001,81672.800000000003,16612.2325229532
2.665,79429.800000000003,16603.236661059796
2.6699999999999999,77155.800000000003,16608.339186700458
2.6749999999999998,74653.800000000003,16614.25828388954
2.6800000000000002,71947.800000000003,16608.933251195289
2.6850000000000001,70416.800000000003,16581.582988008671
2.6899999999999999,67138.800000000003,16522.751283772388
2.6949999999999998,65773.800000000003,16424.338982808094
2.7000000000000002,62444.800000000003,16279.623196451525
2.7050000000000001,60495.800000000003,16083.263828278132
2.71,57607.800000000003,15831.29776688371
2.7149999999999999,55358.800000000003,15521.121183648245
2.7200000000000002,52280.800000000003,15151.460449882792
2.7250000000000001,49687.900000000001,14722.332258515911
2.73,46809.900000000001,14234.993599837038
2.7349999999999999,44480.900000000001,13691.882298636674
2.7400000000000002,41500.900000000001,13096.548871258236
2.7450000000000001,39007.900000000001,12453.580505521901
2.75,35705.900000000001,11768.518004143352
2.7549999999999999,33458.900000000001,11047.766563117573
2.7599999999999998,30705.900000000001,10298.501280561984
2.7650000000000001,28142.900000000001,9528.5683087270463
2.77,25635.900000000001,8746.3825723222963
2.7749999999999999,23064.900000000001,7960.8229800309346
2.7799999999999998,21028.900000000001,7181.1260531812331
2.7850000000000001,18629.900000000001,6416.7788861206463
2.79,16960,5677.412337039219
2.7949999999999999,14916,4972.695325987409
2.7999999999999998,13341,4312.2310888363127
2.8050000000000002,11967,3705.4562021800839
2.8100000000000001,10497,3161.5431549624059
2.8149999999999999,9699.9699999999993,2689.3071982418219
2.8199999999999998,8872.9799999999996,2297.1181553543506
2.8250000000000002,8257.9799999999996,1992.8178211848485
2.8300000000000001,8149.9799999999996,1783.6435217575531
2.835,8188.9799999999996,1676.1583443734673
2.8399999999999999,8431.9799999999996,1676.188484562882
2.8450000000000002,9137.9699999999993,1788.7680897198031
2.8500000000000001,9969.9699999999993,2018.0919110002985
2.855,11203,2367.4760054772373
2.8599999999999999,12834,2839.3266602415033
2.8650000000000002,14548,3435.1176397234058
2.8700000000000001,16556,4155.3757875772726
2.875,18865.900000000001,4999.6749456194821
2.8799999999999999,21543.900000000001,5966.6380851147842
2.8849999999999998,24207.900000000001,7053.9474807254155
2.8900000000000001,27140.900000000001,8258.3626952035411
2.895,30965.900000000001,9575.7460839161249
2.8999999999999999,34405.900000000001,11001.095473000163
2.9049999999999998,38122.900000000001,12528.583613767149
2.9100000000000001,41715.900000000001,14151.603969271615
2.915,45840.800000000003,15862.822347039863
2.9199999999999999,50290.800000000003,17654.23385507493
2.9249999999999998,54163.800000000003,19517.224626610681
2.9300000000000002,58960.800000000003,21442.637732818519
2.9350000000000001,63583.800000000003,23420.842681856739
2.9399999999999999,67795.800000000003,25441.807887316867
2.9449999999999998,72277.800000000003,27495.175479232897
2.9500000000000002,76765.800000000003,29570.337826292522
2.9550000000000001,81766.800000000003,31656.515138591498
2.96,85518.800000000003,33742.833526024107
2.9649999999999999,90591.800000000003,35818.402897983513
2.9700000000000002,94046.800000000003,37872.394105201514
2.9750000000000001,98488.699999999997,39894.114743998849
2.98,101971,41873.083066632811
2.9849999999999999,105999,43799.099468484972
2.9900000000000002,109575,45662.315053177605
2.9950000000000001,112751,47453.296809983738
3,116477,49163.088973735459
3.0049999999999999,118986,50783.270175469457
3.0099999999999998,121572,52306.006031912017
3.0150000000000001,124335,53724.096863235522
3.02,126045,55031.020270962974
3.0249999999999999,127987,56220.968351114163
3.0299999999999998,129010,57288.879361347899
3.0350000000000001,130946,58230.463704644331
3.04,131451,59042.224135693148
3.0449999999999999,132464,59721.470139322228
3.0499999999999998,132025,60266.326472755951
3.0550000000000002,132655,60675.735904980982
3.0600000000000001,131765,60949.456226791168
3.0649999999999999,131288,61088.051643967912
3.0699999999999998,129637,61092.878703326096
3.0750000000000002,128759,60966.06693684122
3.0800000000000001,126950,60710.494442595969
3.085,125396,60329.758652696037
3.0899999999999999,123247,59828.142567461735
3.0950000000000002,121778,59210.576761978955
3.1000000000000001,118389,58482.59749537606
