two_theta_deg,experimental_intensity,fitted_intensity
1.5760000000000001,460072.25,139370.35670484047
1.5780000000000001,468197.25,151330.05717557963
1.5800000000000001,475354.28125,165680.40175392284
1.5820000000000001,482366.28125,182272.36603811657
1.5840000000000001,488032.3125,200936.13221678013
1.5860000000000001,497968.34375,221483.18135052323
1.5880000000000001,507703.34375,243708.54516826436
1.5900000000000001,514709.34375,267393.18323301326
1.5920000000000001,522824.40625,292306.4510655356
1.5940000000000001,532463.375,318208.6252737281
1.5960000000000001,541393.4375,344853.45285439858
1.5980000000000001,551615.375,371990.69352799904
1.6000000000000001,561325.375,399368.62613967271
1.6020000000000001,568370.375,426736.49270692875
1.6040000000000001,577566.375,453846.85650886846
1.6060000000000001,585795.375,480457.85358911287
1.6080000000000001,592144.3125,506335.32008446299
1.6100000000000001,599899.25,531254.7808037739
1.6120000000000001,605060.1875,555003.28738713509
1.6140000000000001,609022.125,577381.09710834944
1.6160000000000001,613677.125,598203.18589150952
1.6180000000000001,619380.125,617300.59135829925
1.6200000000000001,624251.0625,634521.58368220041
1.6220000000000001,624804,649732.66368927504
1.6240000000000001,627316,662819.38901438483
1.6260000000000001,627659.9375,673687.03020890045
1.6280000000000001,629654.9375,682261.05952301319
1.6300000000000001,629000.9375,688487.47568118572
1.6320000000000001,625157.9375,692332.96836800466
1.6339999999999999,622380.875,693784.9263818094
1.6360000000000001,617848.875,692851.29353610799
1.6379999999999999,614507.8125,689560.27643537044
1.6400000000000001,610509.875,683959.9082636555
1.6419999999999999,603863.8125,676117.47274088347
1.6440000000000001,598965.8125,666118.79245896591
1.6459999999999999,591733.75,654067.38594067912
1.6480000000000001,584343.8125,640083.49799601967
1.6499999999999999,577022.75,624303.00830534555
1.6520000000000001,567210.75,606876.22365165059
1.6539999999999999,558256.6875,587966.55986453744
1.6560000000000001,550399.6875,567749.12032674847
1.6579999999999999,540818.6875,546409.17882504314
1.6600000000000001,530562.8125,524140.57558571832
1.6619999999999999,521502.84375,501144.03650137538
1.6640000000000001,510352.1875,477625.42679928511
1.6659999999999999,500387.40625,453793.95169027901
1.6680000000000001,492789.6875,429860.3178273731
1.6699999999999999,481710.625,406034.87065329915
1.6720000000000002,473187.65625,382525.72387499356
1.6739999999999999,465354.78125,359536.89832426945
1.6760000000000002,455247.875,337266.48829634854
1.6779999999999999,449085.8125,315904.87405675952
1.6800000000000002,441607.9375,295632.99952940072
1.6819999999999999,433028.9375,276620.73418886546
1.6840000000000002,428153.96875,259025.33785068526
1.6859999999999999,422586,242990.04636608696
1.6880000000000002,418011,228642.79517589428
1.6899999999999999,412908.96875,216095.09626656151
1.6920000000000002,410483.96875,205441.08231595633
1.694,405746.96875,196756.72974740714
1.6960000000000002,405202.96875,190099.27006646409
1.698,405282,185506.79628697719
1.7000000000000002,404105.96875,182998.06851906108
1.702,403698.96875,182572.51995653252
1.7040000000000002,405293.96875,184210.46163358277
1.706,406286.90625,187873.48148973912
1.7080000000000002,409166.78125,193505.03055692528
1.71,411027.65625,201031.18652694052
1.7120000000000002,415359.53125,210361.58263040814
1.714,420198.375,221390.48770871465
1.7160000000000002,422536.25,233998.02162902858
1.718,429556.15625,248051.48880773818
1.7200000000000002,435819.15625,263406.81158743601
1.722,440297.15625,279910.04456197098
1.7240000000000002,445947.1875,297398.95065809629
1.726,454046.21875,315704.61984426418
1.7280000000000002,458240.21875,334653.11172245553
1.73,465437.21875,354067.10393433942
1.7320000000000002,470165.25,373767.52924013085
1.734,475277.25,393575.18526405346
1.7360000000000002,483226.28125,413312.30219969689
1.738,490252.28125,432804.05518559908
1.7400000000000002,494063.28125,451880.00955249846
1.742,499365.3125,470375.48866572749
1.7440000000000002,505089.28125,488132.85560247797
1.746,508255.25,505002.70137899485
1.7480000000000002,511836.3125,520844.93385007157
1.75,516079.28125,535529.76271900814
1.7520000000000002,516705.21875,548938.57730401075
1.754,518242.09375,560964.71479537827
1.7560000000000002,519901.125,571514.11770126421
1.758,520791.1875,580505.88001736603
1.76,521780.125,587872.68237172673
1.762,520782,593561.11699738598
1.764,518848.96875,597531.90388408257
1.766,516498.96875,599759.99986917747
1.768,514732.96875,600234.60276262974
1.77,510270.9375,598959.05287800892
1.772,506169.875,595950.63457818492
1.774,501038.84375,591240.28065739968
1.776,494287.90625,584872.18258725666
1.778,490489.96875,576903.30986771348
1.78,482387.03125,567402.84195887367
1.782,474011.21875,556451.5165362556
1.784,467522.5,544140.89812024508
1.786,459942.5625,530572.57148531883
1.788,451560.65625,515857.26465946977
1.79,442294.71875,500113.90677888651
1.792,432154.6875,483468.62656391365
1.794,424523.6875,466053.69772301242
1.796,415008.6875,448006.43816269335
1.798,405184.78125,429468.07046998845
1.8,394605.75,410582.5517259292
1.802,385700.8125,391495.38128570525
1.804,374174.8125,372352.39570577972
1.806,366162.90625,353298.5604897025
1.8080000000000001,356238.9375,334476.76874321396
1.8100000000000001,348144.96875,316026.65715507895
1.8120000000000001,337901.96875,298083.44993438869
1.8140000000000001,330177.9375,280776.84142070357
1.8160000000000001,322258.9375,264229.92802586721
1.8180000000000001,314013.90625,248558.19995434611
1.8200000000000001,307329.90625,233868.60277442751
1.8220000000000001,299811.875,220258.67837305999
1.8240000000000001,294991.90625,207815.79412275294
1.8260000000000001,287218.90625,196616.46822612174
1.8280000000000001,283892.9375,186725.79819290209
1.8300000000000001,279142.96875,178196.99826058556
1.8320000000000001,275020.96875,171071.05031234736
1.8340000000000001,271242,165376.47149796094
1.8360000000000001,269716.0625,161129.20035015582
1.8380000000000001,267257.09375,158332.60173884171
1.8400000000000001,265557.125,156977.58954770627
1.8420000000000001,264780.125,157042.86452141218
1.8440000000000001,264195.15625,158495.26334601163
1.8460000000000001,264214.15625,161290.21371727996
1.8480000000000001,264759.15625,165372.28894652933
1.8500000000000001,266179.15625,170675.85457270817
1.8520000000000001,267287.15625,177125.79851126974
